text,author,label,class_id,is_ai,TTR,Hapax_Ratio,Adj_Noun_Ratio,Avg_Tree_Depth,Flesch_Kincaid,Semicolons,Em_Dashes,Exclamations
"The first uprising momentum of the whale—modifying its direction as he struck the surface—involuntarily launched him along it, to a little distance from the centre of the destruction he had made; and with his back to it, he now lay for a moment slowly feeling with his flukes from side to side; and whenever a stray oar, bit of plank, the least chip or crumb of the boats touched his skin, his tail swiftly drew back, and came sideways smiting the sea. But soon, as if satisfied that his work for that time was done, he pushed his pleated forehead through the ocean, and trailing after him the intertangled lines, continued his leeward way at a traveller’s methodic pace.",Melville,Human,0,0,0.6859504132231405,0.5537190082644629,0.25,8.0,24.1,2.0,2.0,0.0
"Bildad said no more, but buttoning up his coat, stalked on deck, where we followed him. There he stood, very quietly overlooking some sailmakers who were mending a top-sail in the waist. Now and then he stooped to pick up a patch, or save an end of tarred twine, which otherwise might have been wasted.",Melville,Human,0,0,0.9464285714285714,0.8928571428571429,0.1111111111111111,7.666666666666667,6.9,0.0,0.0,0.0
"I told him that I never liked to sleep two in a bed; that if I should ever do so, it would depend upon who the harpooneer might be, and that if he (the landlord) really had no other place for me, and the harpooneer was not decidedly objectionable, why rather than wander further about a strange town on so bitter a night, I would put up with the half of any decent man’s blanket.",Melville,Human,0,0,0.8,0.68,0.5,8.0,29.0,1.0,0.0,0.0
"“‘Aye, aye, my merry lads, it’s a lively leak this; hold a cannikin, one of ye, and let’s have a taste. By the Lord, it’s worth bottling! I tell ye what, men, old Rad’s investment must go for it! he had best cut away his part of the hull and tow it home. The fact is, boys, that sword-fish only began the job; he’s come back again with a gang of ship-carpenters, saw-fish, and file-fish, and what not; and the whole posse of ’em are now hard at work cutting and slashing at the bottom; making improvements, I suppose. If old Rad were here now, I’d tell him to jump overboard and scatter ’em. They’re playing the devil with his estate, I can tell him. But he’s a simple old soul,—Rad, and a beauty too. Boys, they say the rest of his property is invested in looking-glasses. I wonder if he’d give a poor devil like me the model of his nose.’",Melville,Human,0,0,0.6463414634146342,0.5,0.2631578947368421,5.2,4.9,4.0,1.0,2.0
"Not very far distant Flask’s boat was also lying breathlessly still; its commander recklessly standing upon the top of the loggerhead, a stout sort of post rooted in the keel, and rising some two feet above the level of the stern platform. It is used for catching turns with the whale line. Its top is not more spacious than the palm of a man’s hand, and standing upon such a base as that, Flask seemed perched at the mast-head of some ship which had sunk to all but her trucks. But little King-Post was small and short, and at the same time little King-Post was full of a large and tall ambition, so that this loggerhead stand-point of his did by no means satisfy King-Post.",Melville,Human,0,0,0.6846153846153846,0.5307692307692308,0.42857142857142855,8.25,12.0,1.0,0.0,0.0
"Now, the Pequod had sailed from Nantucket at the very beginning of the Season-on-the-Line. No possible endeavor then could enable her commander to make the great passage southwards, double Cape Horn, and then running down sixty degrees of latitude arrive in the equatorial Pacific in time to cruise there. Therefore, he must wait for the next ensuing season. Yet the premature hour of the Pequod’s sailing had, perhaps, been correctly selected by Ahab, with a view to this very complexion of things. Because, an interval of three hundred and sixty-five days and nights was before him; an interval which, instead of impatiently enduring ashore, he would spend in a miscellaneous hunt; if by chance the White Whale, spending his vacation in seas far remote from his periodical feeding-grounds, should turn up his wrinkled brow off the Persian Gulf, or in the Bengal Bay, or China Seas, or in any other waters haunted by his race. So that Monsoons, Pampas, Nor’-Westers, Harmattans, Trades; any wind but the Levanter and Simoon, might blow Moby Dick into the devious zig-zag world-circle of the Pequod’s circumnavigating wake.",Melville,Human,0,0,0.7301587301587301,0.6190476190476191,0.3333333333333333,6.666666666666667,14.0,3.0,0.0,0.0
"Next was Tashtego, an unmixed Indian from Gay Head, the most westerly promontory of Martha’s Vineyard, where there still exists the last remnant of a village of red men, which has long supplied the neighboring island of Nantucket with many of her most daring harpooneers. In the fishery, they usually go by the generic name of Gay-Headers. Tashtego’s long, lean, sable hair, his high cheek bones, and black rounding eyes—for an Indian, Oriental in their largeness, but Antarctic in their glittering expression—all this sufficiently proclaimed him an inheritor of the unvitiated blood of those proud warrior hunters, who, in quest of the great New England moose, had scoured, bow in hand, the aboriginal forests of the main. But no longer snuffing in the trail of the wild beasts of the woodland, Tashtego now hunted in the wake of the great whales of the sea; the unerring harpoon of the son fitly replacing the infallible arrow of the sires. To look at the tawny brawn of his lithe snaky limbs, you would almost have credited the superstitions of some of the earlier Puritans, and half-believed this wild Indian to be a son of the Prince of the Powers of the Air. Tashtego was Stubb the second mate’s squire.",Melville,Human,0,0,0.6540284360189573,0.5592417061611374,0.6428571428571429,10.666666666666666,14.4,1.0,2.0,0.0
"I went down to supper. After sitting a long time listening to the long stories of some sailors who had just come from a plum-pudding voyage, as they called it (that is, a short whaling-voyage in a schooner or brig, confined to the north of the line, in the Atlantic Ocean only); after listening to these plum-puddingers till nearly eleven o’clock, I went up stairs to go to bed, feeling quite sure by this time Queequeg must certainly have brought his Ramadan to a termination. But no; there he was just where I had left him; he had not stirred an inch. I began to grow vexed with him; it seemed so downright senseless and insane to be sitting there all day and half the night on his hams in a cold room, holding a piece of wood on his head.",Melville,Human,0,0,0.6923076923076923,0.5314685314685315,0.25925925925925924,6.75,12.3,4.0,0.0,0.0
"“And I was not speaking or thinking of that at all. Begone! Let it leak! I’m all aleak myself. Aye! leaks in leaks! not only full of leaky casks, but those leaky casks are in a leaky ship; and that’s a far worse plight than the Pequod’s, man. Yet I don’t stop to plug my leak; for who can find it in the deep-loaded hull; or how hope to plug it, even if found, in this life’s howling gale? Starbuck! I’ll not have the Burtons hoisted.”",Melville,Human,0,0,0.7126436781609196,0.5172413793103449,0.2,3.9,2.2,3.0,0.0,5.0
"“Good again. Now then, thou not only wantest to go a-whaling, to find out by experience what whaling is, but ye also want to go in order to see the world? Was not that what ye said? I thought so. Well then, just step forward there, and take a peep over the weather-bow, and then back to me and tell me what ye see there.”",Melville,Human,0,0,0.7014925373134329,0.5074626865671642,0.25,4.2,4.9,0.0,0.0,0.0
